الإجراء التنفيذي / المشروع,القطاع,المكون,الهدف,البرنامج,البرنامج الفرعي,مؤشر القياس,وحدة القياس,المستهدف الكلي,المتحقق الكلي,تاريخ بداية التنفيذ,تاريخ الإنجاز,الجهة المنفذة,موقف الإجراء,الكلفة الكلية,التمويل المخصص,المبلغ المصروف,العملة,وحدة المبلغ,مصدر التمويل,ملاحظات
توزيع الكتب المدرسية على المدارس,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,percent,100.0,0.0,2024,2025,تربية ديالى,done,0.0,0.0,0.0,IQD,one,,
طباعة الكتب المدرسية لكل المديريات العامة للتربية في الوزارة,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,percent,100.0,50.0,2023,2025,مكتب الوزير / قسم العقود ، قسم التجهيزات ، قسم المخازن,done,,,,IQD,one,الموازنة التشغيللة لوزارة التربية,
طباعة الكتب المدرسية لكل المديريات العامة للتربية في الوزارة,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,percent,100.0,0.0,2025,2026,مكتب الوزير / قسم العقود ، قسم التجهيزات ، قسم المخازن,done,145000000000.0,,,IQD,one,الموازنة التشغيللة لوزارة التربية,
طبع وتجهيز 18 عنوان / الكتب المدرسية / صفوف المرحلة الابتدائية,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,,,,45810,45900,شركة النهرين العامة لطباعة وانتاج المستلزمات التربوية,done,16274547972.0,16274547972.0,16274547972.0,IQD,one,موارد الشركة الذاتية,
طبع وتجهيز الدفاتر المدرسية لمرحلة الثالث المتوسط.,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,percent,,0.0,2025-02-18 00:00:00,2025,شركة النهرين العامة لطباعة وانتاج المستلزمات التربوية,done,1098000000.0,1098000000.0,,IQD,one,موارد الشركة الذاتية,
طبع وتجهيز الكتب المدرسية للمرحلة المتوسطة,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,,,,2025-07-17 00:00:00,2025-09-02 00:00:00,شركة النهرين العامة لطباعة وانتاج المستلزمات التربوية,done,3952377133.0,3952377133.0,3952377133.0,IQD,one,موارد الشركة الذاتية,
طبع وتجهيز الكتب المدرسية للمرحلة المتوسطة +المرحلة الابتدائية,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,,,0.0,2025-09-22 00:00:00,2025-10-22 00:00:00,شركة النهرين العامة لطباعة وانتاج المستلزمات التربوية,done,1448979635.0,1448979635.0,1448979635.0,IQD,one,موارد الشركة الذاتية,
طبع وتجهيز الدفاتر الامتحانية للصفوف غير المنتهية,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,,21250000.0,0.0,2025-11-02 00:00:00,2025-12-25 00:00:00,شركة النهرين العامة لطباعة وانتاج المستلزمات التربوية,done,1806250000.0,1806250000.0,1806250000.0,IQD,one,موارد الشركة الذاتية,
طبع وتجهيز الدفاتر الامتحانية للصفوف غير المنتهية .,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,,,0.0,2026-02-10 00:00:00,2026-05-04 00:00:00,شركة النهرين العامة لطباعة وانتاج المستلزمات التربوية,done,476000000.0,476000000.0,,IQD,one,موارد الشركة الذاتية,
طبع وتجهيز الدفاتر الامتحانية للصفوف المنتهية الثالث المتوسط.,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,,,0.0,2026-01-27 00:00:00,2026-06-07 00:00:00,شركة النهرين العامة لطباعة وانتاج المستلزمات التربوية,done,1404000000.0,1404000000.0,,IQD,one,موارد الشركة الذاتية,
طبع وتجهيز الدفاتر المدرسية للصفوف غير المنتهية .,ge,الجودة والموائمة,تطوير مناهج وأساليب التقويم وتحديث تخصصات التعليم الاعدادي والتدريب المهني,المناهج والتقييم,توفير كتب جديدة للصفوف الأربعة الأولى من المرحلة الابتدائية,مناهج قائمة على المعايير في جميع صفوف التعليم العام ودمج المهارات والقدرات المستهدفة في الهدف الرابع من أهداف التنمية المستدامة بما في ذلك أسلوب الحياة المستدام، وحقوق الإنسان، والمساواة بين الجنسين، وتعزيز ثقافة السلام واللاعنف، والمواطنة العالمية، وقبول التنوع الثقافي.,percent,,0.0,2025-02-18 00:00:00,2025,شركة النهرين العامة لطباعة وانتاج المستلزمات التربوية,done,603500000.0,603500000.0,,IQD,one,موارد الشركة الذاتية,
تنفيذ الزيارات الاشرافية والاجتماعات الدورية لمتابعة ومراقبة خطط ادارات المدارس,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,50.0,2024,2025,المديرية العامة لتربية الكرخ الثالثة/ قسم الاشراف التربوي + الاشراف الاختصاصي,done,0.0,0.0,0.0,IQD,one,لايحتاج,
ندوة بعنوان (اثر البيئة الداخلية في أداء المعلمين) / و اجراء بحث بعنوان (تقييم أداء المؤسسة التربوية في ضوء الاستراتيجية الوطنية للتربية والتعليم 2021 - 2031)),ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,,2025,2025,مركز البحوث والدراسات,done,0.0,0.0,0.0,IQD,one,,
-ترجمة دراسة بعنوان (القيادة والادارة التربوية الناجحة) اجراء بحث بعنوان (دورة الادارة المدرسية في بناء شخصة التلميذ ( دراسة مقارنة بين المدارس الحكومية والاهلية)),ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,60.0,2024,2025,جميع المديريات العامة للتربية - مركز البحوث والدراسات,done,0.0,0.0,0.0,IQD,one,,
التنسيق مع قسم الاعداد والتدريب بشمول ادارات المدارس بالدورات التدريبية والعمل على تقويم الادارات كافة من قبل قسمي الاشراف التربوي والاختصاصي,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,10.0,2024,2027,قسم الاشراف التربوي + شعبة ضمان اجودة +اقسام وشعب امديرية,done,0.0,0.0,0.0,IQD,one,,
تشكيل لجان مشتركة من اقسام االاشراف التربوي والاختصاص وإدارة الجودة اللغرض اعداد تقارير ومتابعة وضع الخطط المدارس,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,0.0,2024,2025,الاشراف التربوي,done,0.0,0.0,0.0,IQD,one,لايوجد,
ورش عمل على صياغة الخطة التطويرية للمدرسة للوصول للرؤية والرسالة والاهداف,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,0.0,2024,2025,تربية ذي قار,done,0.0,0.0,0.0,IQD,one,لايوجد,
دورات المدارس ولجان الجودة المدرسية في دورات تطويرية في بناء وتنفيذ الخطة التطويرية للمدرسة,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,100.0,2024,2025,قسم الاعداد والتدريب - تربية نينوى,done,0.0,0.0,0.0,IQD,one,لايوجد,
اختيار مديري ومعاوني المدارس الاهلية وفقا للضوابط والشروط,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,تعديل اختيار مديري المدارس,percent,100.0,40.0,2023,2025,قسم التعليم الاهلي,done,0.0,0.0,0.0,IQD,one,لا يحتاج تخصيص,هذا المشروع مستمر وهو من مهام الوزارة وتقوم به بصفة دورية
تعميم استبانة جودة الخدمة,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,تقديم افضل الخدمات للمراجعين من قبل الافراد العاملين والتي تساهم في تحسين الخدمة,,1.0,,2026,2026,شعبة إدارة الجودة والتطوير المؤسسي,done,,,,IQD,one,,
تعميم استبانة اساليب العمل الاداري,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,الارتقاء بواقع العمل المؤسسي,,1.0,,2026,2026,شعبة إدارة الجودة والتطوير المؤسسي,done,,,,IQD,one,,
تعميم استبانة الرضا الوظيفي,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,رفع مستوى الاداء وتحقيق الكفاءة التنظيمية حيث ان رضا العاملين ينعكس على جودة الخدمات التربوية ويؤثر بشكل مباشر على استقرار البيئة التعليمية,,1.0,,2026,2026,شعبة إدارة الجودة والتطوير المؤسسي,done,,,,IQD,one,,
زيارات المدارس,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,الاطلاع عن كثب على ما هو متحقق من معايير الجودة,,1.0,,2026,2026,شعبة إدارة الجودة والتطوير المؤسسي,done,,,,IQD,one,,
متابعة ونشر سجل الجودة وتعميمه في عموم مدارس محافظة نينوى,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,لتعميم مفاهيم إدارة الجودة,,1.0,,2026,2026,شعبة إدارة الجودة والتطوير المؤسسي,done,,,,IQD,one,,
متابعة لجنة الفريق الساند لتطبيق الاستراتيجية الوطنية للنزاهة ومكافحة الفساد,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,نشر ثقافة النزاهة والشفافية وعدم هدر المال العام,,1.0,,2026,2026,شعبة إدارة الجودة والتطوير المؤسسي,done,,,,IQD,one,,
انجاز معاملات المتقدمين للمعاونية والإدارة والمنقولين والترقيات العلمية,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,لتسهيل اجراءات من خلال اعطاء التقييمات للمتقدمين,,1.0,,2026,2026,شعبة إدارة الجودة والتطوير المؤسسي,done,,,,IQD,one,,
اختيار مديري ومعاوني المدارس الحكومية وفقا لمشروع الادارات المدرسية النافذ,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,تعديل اختيار مديري المدارس,percent,100.0,85.0,2023,2024,قسم الادارة المدرسية - المديرية العامة للتعليم العام والاهلي والاجنبي,done,0.0,0.0,0.0,IQD,one,لا يحتاج تخصيص,هذا المشروع مستمر وهو من مهام الوزارة وتقوم به بصفة دورية
تشكيل لجان مشتركة من قسمي الاشراف واقسام التربية في الاقضية لمراقبة وتقييم خطط التطوير,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,زيادة الاستعداد للمدرسة بين الأطفال الابتدائي، وتحسين نتائج التعليم والتعلم في التعليم الابتدائي والثانوي، وخفض معدلات التسرب والرسوب,count,1.0,0.0,2024,2024,المديرية العامة لتربية القادسية,done,0.0,0.0,0.0,IQD,one,,
دورات العمل على صياغة الخطة التطويرية للمدرسة وفق مراحل ونموذج معين باتجاه الوصول للرؤية والرسالة والاهداف,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,100.0,2024,2025,قسم الاعداد والتدريب - تربية نينوى,done,0.0,0.0,0.0,IQD,one,لايوجد,
دورات المدارس ولجان الجودة المدرسية في دورات تطويرية في بناء وتنفيذ الخطة التطويرية للمدرسة,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,,2025,2025,قسم الاعداد والتدريب,done,0.0,0.0,0.0,IQD,one,لايوجد,
دورات العمل على صياغة الخطة التطويرية للمدرسة وفق مراحل ونموذج معين باتجاه الوصول للرؤية والرسالة والاهداف,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,,2025,2025,قسم الاعداد والتدريب,done,0.0,0.0,0.0,IQD,one,لايوجد,
اجراء بحث بعنوان (دتقييم أداء المدارس المسائية: دراسة ميدانية في مديرية الرصافة الثانية)),ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة,percent,100.0,,2026,2026,مركز البحوث والدراسات بالتعاون مع المديرية العامة لتربية الرصافة 2,done,0.0,0.0,0.0,IQD,one,لايوجد,
اجراء بحث بعنوان (مدى توظيف مدرسي اللغة العربية للاسئلة الصفية وأساليب التقويم التشخيصي اثناء التدريس)),ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة,percent,100.0,,2026,2026,مركز البحوث والدراسات,done,0.0,0.0,0.0,IQD,one,لايوجد,
اجراء بحث بعنوان (استخدام نماذج الرسم البياني والذكاء الاصطناعي لتحليل أنماط تعلم الرياضيات في المدارس والتنبؤ بها)),ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة,percent,100.0,,2026,2026,مركز البحوث والدراسات,done,0.0,0.0,0.0,IQD,one,لايوجد,
تشكيل لجان مشتركة من قسمي الاشراف واقسام التربية في الاقضية لمراقبة وتقييم خطط التطوير,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تطوير وتنفيذ ومراقبة خطط تطوير المدرسة,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,10.0,2024,2025,تربية البصرة,done,0.0,0.0,0.0,IQD,one,,
تم اعداد دراسة حول المبادرات والمساهمات من قبل ادارات المدارس ومجالس اولياء امور الطلبة التي تساهم في تحسين العملية التربوية بواقع (7) مبادرات وبمساهمة (251) مدرسة وبنسبة 100% لانجاز جميع المبادرات من خلال رابط الكتروني لتحسين الواقع البيئي والصحي والمدرسي حسب كتاب قسم التخطيط التربوي المرقم 22128/8/2 في 2024/4/21,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تحسين العلاقة بين المجتمعات والقيادة المدرسية والمجالس المحلية,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,100.0,2024,2025,ادارات المدارس + قسم التخطيط التربوي,done,0.0,0.0,0.0,IQD,one,تبرعات مجالس الاباء وادارات المدارس,
توثيق العلاقات بين ادارات المدارس والمجالس المحلية ومنظمات المجتمع المدني ويندرج ذلك ب(صبغ او كهربائيات او تبرع عيني او مادي او عمل حديقة مدرسية..الخ),ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تحسين العلاقة بين المجتمعات والقيادة المدرسية والمجالس المحلية,النسبة المئوية للمدارس التي حققت المستوى الرابع من الجودة في التقييم الخارجي (جزء من التقييم الخارجي لبرنامج التطوير المدرسي من قبل المشرفين الذين يطبقون الإنجازات المدرسية مع معايير الجودة المحددة).,percent,100.0,7.0,2024,2031,قسمي الاشراف التربوي والاختصاصي,done,0.0,0.0,0.0,IQD,one,لاتحتاج تخصيص مالي,
أقيمت الأمسية بحضور مدير عام تربية نينوى وعدد من الشخصيات التربوية على قاعة نقابة المعلمين لعدد 150 من فاقدي الرعاية الابوية,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تحسين العلاقة بين المجتمعات والقيادة المدرسية والمجالس المحلية,مشاركة المجتمع التربوي في رعاية ودعم فاقدي الرعاية الابوية ورسم الابتسامة على وجوههم,,1.0,,2026,2026,قسم النشاط الرياضي والكشفي,done,,,,IQD,one,,
أاحتفالية بمناسبة يوم الاخوة العربية الكشفية وعيد الشجرة قيمت الاحتفالية على قاعة ثانوية نينوى للمتميزين وبمشاركة 10 مدارس,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تحسين العلاقة بين المجتمعات والقيادة المدرسية والمجالس المحلية,عرف كشفي يقام سنويا,,1.0,,2026,2026,النشاط االرياضي,done,,,,IQD,one,,
بطولة كرة الطائرة للمرحلة المتوسطة لاقسام التربية في الاقضية والنواحي,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تحسين العلاقة بين المجتمعات والقيادة المدرسية والمجالس المحلية,كشف المواهب الرياضية بلعبة الكرة الطائرة,,1.0,,2026,2026,قسم النشاط الرياضي والكشفي,done,,,,IQD,one,,
شارك في المارثون 20 مدرسة,ge,الجودة والموائمة,الارتقاء ببرنامج الإدارة المدرسية لتعزيز القيادة المدرسية والمشاركة المجتمعية,القيادة المدرسية والمشاركة المجتمعية,تحسين العلاقة بين المجتمعات والقيادة المدرسية والمجالس المحلية,كشف المواهب الرياضية بالعاب القوى,,1.0,,2026,2026,قسم النشاط الرياضي والكشفي,done,,,,IQD,one,,
