الإجراء التنفيذي / المشروع,القطاع,المكون,الهدف,البرنامج,البرنامج الفرعي,مؤشر القياس,وحدة القياس,المستهدف الكلي,المتحقق الكلي,تاريخ بداية التنفيذ,تاريخ الإنجاز,الجهة المنفذة,موقف الإجراء,الكلفة الكلية,التمويل المخصص,المبلغ المصروف,العملة,وحدة المبلغ,مصدر التمويل,ملاحظات
بناء مدارس واجنحة وصحيات (مشاريع مستمرة من خطة 2019) بعدد 4 مدارس و3 اجنحة و1 صحيات,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,67.0,2023,2025,تربية بابل,done,,,,IQD,one,الموازنة الاستثمارية,
هدم وإعادة بناء 132 مدرسة,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2031,محافظة واسط - تربية واسط,done,,,,IQD,one,تنمية الأقاليم,
استملاك أراضي عدد 200 قطعة ارض,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2025,2031,محافظة واسط - تربية واسط,done,,,,IQD,one,تنمية الأقاليم,بداية تنفيذ المشروع سنة 2025
نقل ملكية أراضي 150 قطعة ارض,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2025,2031,محافظة واسط - تربية واسط,done,,,,IQD,one,تنمية الأقاليم,بداية تنفيذ المشروع سنة 2026
بناء مدارس جديدة متنوعة السعات 42 مدرسة,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,50.0,2024,2024,شعبة الأبنية المدرسية - تربية نينوى,done,69300000000.0,33000000000.0,33000000000.0,IQD,one,تنمية أقاليم ، استثمارية,
لفك الزخم بمدارس المحافظة تم بناء مدارس ضمن مشاريع التنمية والقرض الصيني عددها 179 مدرسة,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2028,الامانة العامة لمجلس الوزراء +محافظة كربلاء المقدسة +وزارة التربية,done,,,,IQD,one,الموازنة الاستثمارية,
استملاك قطع اراضي 113 قطعة ارض,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2028,الامانة العامة لمجلس الوزراء +محافظة كربلاء المقدسة +وزارة التربية,done,,,,IQD,one,لايحتاج الى تمويل لانهاتنازل من قبل المتبرع,
بناء مدارس (عدد 529 مدرسة),ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,2.0,2024,2028,"وزارة التربية.محافظة بغداد ,مجلس رئاسة الوزراء, صندوق الاعمار",delayed,,,,IQD,one,"وزارة التربية,قرض الكويتي,تنمية اقاليم,مشروع المدارس النموذجية , صندوق الاعمار",
المدارس المشيدة ضمن القرض الصيني بواقع (13) مدرسة تم اصدار الاوامر الادارية في تخصيص البناية والاشغال للمدارس,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,,2024,2024,,done,0.0,,,IQD,one,,
أنشاء مدارس جديده وهدم واعادة بناء عدد (37) مدرسة ابتدائية ورياض اطفال وثانوية ضمن خطة عام (2023).,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,29.0,2024,2026,"وزارة التربية.محافظة بغداد ,مجلس رئاسة الوزراء, صندوق الاعمار",delayed,,,,IQD,one,"وزارة التربية,قرض الكويتي,تنمية اقاليم,مشروع المدارس النموذجية , صندوق الاعمار",
أنشاء مدارس جديده وهدم واعادة بناء عدد (29) مدرسة ابتدائية وثانوية ورياض اطفال ضمن خطة عام (2023).,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,30.0,2024,2026,"وزارة التربية.محافظة بغداد ,مجلس رئاسة الوزراء, صندوق الاعمار",done,,,,IQD,one,"وزارة التربية,قرض الكويتي,تنمية اقاليم,مشروع المدارس النموذجية , صندوق الاعمار",
بناء مدارس جديدة عدد (5) ضمن المنافع الاجتماعية,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2025,2027,"وزارة التربية.محافظة بغداد ,مجلس رئاسة الوزراء, صندوق الاعمار",done,,,,IQD,one,"وزارة التربية,قرض الكويتي,تنمية اقاليم,مشروع المدارس النموذجية , صندوق الاعمار",بداية تنفيذ المشروع في 2025
بناء مدرسة 18 صف عدد2 -بناء مدرسة 12صف عدد5- بناء جناح إضافي عدد 3 - هدم وإعادة بناء مدارس ايلة للسقوط ذات سعات مختلفة عدد2- بناء روضة عدد1,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,23.0,2023,2024,وزارة التربية -محافظة ديالى-صندوق اعمار المناطق المتضررة - تربية ديالى,done,,,,IQD,one,وزارة التربية -محافظة ديالى-صندوق اعمار المناطق المتضررة,
بناء مدارس عدد 19مدرسة,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,40.0,2023,2025,محافظة صلاح الدين - تربية صلاح الدين,done,,,,IQD,one,محافظة صلاح الدين,
